gene,total,log2FC,p_perm
RNF146,97,-1.0505649956014147,0.016887524240465416
IFRD2,56,0.8292042570080183,0.016968325791855202
GTF2E2,58,1.1534678601611636,0.016968325791855202
FAM89A,70,-1.6361711256176017,0.01704912734324499
GABPB1-AS1,121,-0.7858808525485255,0.01704912734324499
NANS,165,0.6200934201958952,0.01712992889463478
BCL6,87,-0.8352085649120965,0.01712992889463478
SSBP3,61,0.9654086406063288,0.017210730446024565
BAG6,91,-0.7457104140729933,0.017210730446024565
BIRC2,145,0.8438466607254139,0.01729153199741435
SLK,83,1.0223743904720553,0.017453135100193924
UBR7,65,1.065810537564167,0.017614738202973497
PPIP5K2,104,0.8947649962279388,0.01777634130575307
FLII,71,0.9757691522120494,0.01777634130575307
MYO1C,71,1.2044157757936715,0.017937944408532643
NDUFS2,146,-0.9710262306162053,0.017937944408532643
ERI1,64,1.620370728229595,0.017937944408532643
SCG2,124,2.6143968271849616,0.01801874595992243
MRPL21,171,-0.6099475017102267,0.018341952165481578
NUP153,87,0.9181257278453546,0.018422753716871364
RAPGEF2,191,0.6447399336272392,0.018826761473820296
CCNDBP1,192,-0.8919085171931915,0.01898836457659987
MAP4K5,133,1.1523888062283703,0.01906916612798966
PAQR3,69,1.4232281291832711,0.01906916612798966
CTD-2583P5.3,112,-1.1761855278354254,0.01906916612798966
MYD88,68,-0.9849766539738349,0.019149967679379445
SEC23A,61,0.7327262215657202,0.01947317388493859
TCERG1,70,0.7497539358090615,0.01947317388493859
MCFD2,124,0.8013540566611728,0.019553975436328377
KLF16,73,0.8173926526844248,0.019553975436328377
SAMM50,89,-1.092347319689932,0.01971557853910795
FOXJ3,69,0.7264841564862157,0.01971557853910795
ACAA2,106,-1.0571828743659206,0.019796380090497737
GRHPR,172,-1.1223085171310063,0.019796380090497737
FAM120A,181,0.9303261814508805,0.019796380090497737
MYCBP2,121,0.7616443468592016,0.019877181641887523
OTULIN,92,0.8454372838643703,0.0200387847446671
SUZ12,123,0.7882385568709154,0.02028118939883646
WDR82,147,0.770055472022234,0.02028118939883646
COPS5,173,-0.9180005216630283,0.02028118939883646
MMP24-AS1,121,-0.9005395515968052,0.02028118939883646
SQLE,67,1.3777851584221024,0.020523594053005818
ARMCX1,99,-1.2036689628434052,0.02068519715578539
SYNE3,59,1.4959233573051072,0.020765998707175177
LCORL,61,1.232179836175204,0.020765998707175177
NIPBL,151,0.7226750584559197,0.020846800258564963
R3HDM4,68,1.1367770589183082,0.02092760180995475
FOXK2,62,0.9911717366714099,0.02100840336134454
CREG1,142,-0.530121777517909,0.021089204912734326
CMC1,198,-0.7580764472771041,0.021089204912734326
ARL6IP6,125,-0.7213921260968118,0.021170006464124112
PHF13,130,0.8776376419240214,0.0212508080155139
AKT1,129,0.6535868603297772,0.021331609566903685
ATL3,110,1.2888408961389055,0.021493212669683258
RAB9A,165,1.2566254807426922,0.02165481577246283
MLLT6,60,0.7060088831899419,0.021735617323852617
SVBP,104,-0.9061750862662402,0.021816418875242403
CORO7,58,0.8852382919223454,0.021816418875242403
DCAF5,106,0.7898187268436613,0.022301228183581125
RRAGA,166,-0.963318993369848,0.02238202973497091
MAFB,86,-1.5918140999241517,0.022543632837750485
MRPL44,147,-0.910813981069758,0.02262443438914027
EIF4EBP2,64,2.0065920756789497,0.022705235940530057
PTPN2,139,0.7754056046235399,0.022786037491919844
