gene,log2FC,p_perm,empirical_p
GPN3,-1.0420585143480112,0.0023432449903038137,0.031557614360162134
LINC00467,1.73493049249245,0.0023432449903038137,0.031557614360162134
TFRC,0.9836419959833391,0.0024240465416936006,0.03242617255356109
NPEPPS,1.1226575959414755,0.0025048480930833874,0.03271569195136074
NAPG,1.232179836175204,0.002585649644473174,0.033005211349160395
PPP6C,1.2814519169095342,0.002585649644473174,0.033005211349160395
ATXN2,0.9699223557966781,0.0026664511958629606,0.0335842501447597
CSGALNACT2,1.0785904000386017,0.0026664511958629606,0.0335842501447597
BIRC6,0.9734534293378211,0.0026664511958629606,0.0335842501447597
ERGIC1,1.1444509868037285,0.002828054298642534,0.034452808338158655
MAFK,1.8632119855923455,0.0029088558500323207,0.03474232773595831
TNFRSF12A,2.3214654130323606,0.003070458952811894,0.03503184713375796
SMIM10,-1.3916019134364808,0.0031512605042016808,0.03532136653155762
HDGF,1.1255035000395444,0.003312863606981254,0.03561088592935727
RDX,1.451158344752323,0.003393665158371041,0.03590040532715692
RAB5A,1.2845084753428704,0.003393665158371041,0.03590040532715692
SEC24A,1.7323368827316545,0.003393665158371041,0.03590040532715692
SS18L2,-0.8725050623766025,0.003474466709760827,0.03676896352055588
PARL,-1.4611428466895564,0.003555268261150614,0.03705848291835553
NUS1,1.5267843210098673,0.003555268261150614,0.03705848291835553
RP11-553L6.5,1.3880080181382186,0.003555268261150614,0.03705848291835553
POM121C,-0.9286299370939336,0.003636069812540401,0.03792704111175449
FMNL3,1.4429744773561477,0.003636069812540401,0.03792704111175449
PPM1A,1.4990393305269623,0.003636069812540401,0.03792704111175449
CYTH3,2.102386927237186,0.0037168713639301873,0.038795599305153444
FER,1.1737317805357452,0.0037168713639301873,0.038795599305153444
NUP58,0.9989222275192291,0.0037168713639301873,0.038795599305153444
RUNX1,1.6901921777271658,0.003797672915319974,0.039664157498552406
PUM2,1.0864453833681644,0.003797672915319974,0.039664157498552406
TMEM255B,1.841058843353794,0.003797672915319974,0.039664157498552406
MUM1,-1.2618340384661484,0.003878474466709761,0.04053271569195136
DERL1,1.1977257798460783,0.003878474466709761,0.04053271569195136
SLC39A7,1.1986940315877166,0.003959276018099547,0.04111175448755067
CISD2,1.2774248520731497,0.003959276018099547,0.04111175448755067
GDI1,1.5718722105384049,0.003959276018099547,0.04111175448755067
EPG5,1.1534678601611636,0.003959276018099547,0.04111175448755067
C1orf122,1.1726020271178799,0.004040077569489335,0.04226983207874928
C3orf38,-1.056776824534677,0.004040077569489335,0.04226983207874928
HLA-DRA,2.0308651200219843,0.004040077569489335,0.04226983207874928
CDK17,1.1392048172377713,0.004120879120879121,0.04313839027214823
YY1AP1,1.5197209284873008,0.004120879120879121,0.04313839027214823
ERF,1.7634498115243025,0.004201680672268907,0.04371742906774754
LRP10,1.409397513581302,0.004201680672268907,0.04371742906774754
ANAPC13,-0.8396312383261377,0.004282482223658695,0.044296467863346844
PATL1,-1.056776824534677,0.004282482223658695,0.044296467863346844
BIK,2.3769605256240647,0.0044440853264382674,0.04487550665894615
CHMP1A,1.3901612947183848,0.004605688429217841,0.0451650260567458
PTGER4,-0.6566449447821929,0.004605688429217841,0.0451650260567458
NOTCH2,1.36542133307098,0.0046864899806076275,0.045744064852345105
IRAK1,1.5718722105384049,0.004767291531997415,0.04603358425014476
LDLR,2.5381890842821155,0.004767291531997415,0.04603358425014476
TEX30,1.1244132335671833,0.004848093083387201,0.04661262304574407
NCK1,0.9948149079025967,0.005009696186166775,0.046902142443543716
ST8SIA4,-0.8950773773829074,0.005090497737556561,0.04719166184134337
C11orf24,0.9303261814508831,0.005171299288946348,0.04748118123914302
TMEM220,-0.8026922281986606,0.005171299288946348,0.04748118123914302
SLC35B2,-0.7996189850375508,0.005171299288946348,0.04748118123914302
DOCK2,0.71663076559959,0.005171299288946348,0.04748118123914302
TXLNA,1.5216864533701882,0.005171299288946348,0.04748118123914302
EHD4,1.1157396901622023,0.005252100840336135,0.04892877822814128
IFI27L1,1.8322618951166352,0.005252100840336135,0.04892877822814128
CAMK1D,1.5569989340568748,0.005413703943115708,0.04950781702374059
PARP1,1.2262752097574114,0.005575307045895281,0.049797336421540245
UHRF1BP1L,1.8055445567408568,0.005575307045895281,0.049797336421540245
KIAA1191,0.9757691522120494,0.005575307045895281,0.049797336421540245
NFE2L3,2.0143904462393554,0.005575307045895281,0.049797336421540245
GAS7,0.9654086406063263,0.005736910148674854,0.050955414012738856
KHSRP,1.013206453525478,0.005979314802844214,0.051244933410538505
CPNE1,0.8899684438347402,0.005979314802844214,0.051244933410538505
UBE2J1,1.2138246898443925,0.005979314802844214,0.051244933410538505
ARHGEF12,0.9906041933749925,0.0060601163542340014,0.05211349160393746
