contrast,log2FC,se_log2,z,p,ci_lo,ci_hi,n_ref,n_alt,n_patients,cpm_ref,cpm_alt,gene,comparison,fdr
AD_NL_vs_Healthy,-0.39298006329884,0.19682271725541106,-1.9966194389486114,0.04586653953881883,-0.7787525891194457,-0.007207537478234377,38,27,65,1203.8199984829535,901.5794320531459,DCN,Healthy_vs_AD_NL,0.09173307907763766
AD_NL_vs_Healthy,0.3557189492115227,0.10480772764249087,3.3940145179457937,0.0006887604113623871,0.1502958030322406,0.5611420953908047,38,27,65,4430.590813916568,5235.856274308427,KRT14,Healthy_vs_AD_NL,0.004591736075749248
AD_NL_vs_Healthy,0.3813898226788509,0.0968981306969528,3.9359874120961207,8.285531600084222e-05,0.19146948651282342,0.5713101588448785,38,27,65,6001.693426773147,6992.773223914059,KRT5,Healthy_vs_AD_NL,0.0008285531600084222
AD_NL_vs_Healthy,0.21913362722985547,0.07896154493699432,2.7751942721575222,0.00551687419895508,0.0643689991533466,0.3738982553063643,38,27,65,15848.348427218123,18385.40683686627,KRT10,Healthy_vs_AD_NL,0.02206749679582032
AD_NL_vs_Healthy,0.960139253041673,0.39180079713322635,2.45058014191633,0.014262620860054517,0.19220969066054935,1.7280688154227966,38,27,65,0.5918796739554802,0.8895606554438582,CD3D,Healthy_vs_AD_NL,0.04754206953351506
AD_NL_vs_Healthy,1.0874982019191097,0.36117822191083604,3.0109739069139665,0.002604112294772442,0.379588886973871,1.7954075168643484,38,27,65,0.8256563704328437,1.1880082447772187,CD3E,Healthy_vs_AD_NL,0.01302056147386221
AD_NL_vs_Healthy,0.4440235453240665,0.233005642440006,1.9056343042782458,0.05669766819471156,-0.012667513858345211,0.9007146045064782,38,27,65,2.8939605994255455,3.4897742190330803,TRAC,Healthy_vs_AD_NL,0.1030866694449301
AD_NL_vs_Healthy,0.7363761718304318,0.3603458184488584,2.0435263408917317,0.041000362567578746,0.03009836767066939,1.4426539759901942,38,27,65,9.09277229041858,12.934697855820138,CD163,Healthy_vs_AD_NL,0.09111191681684165
AD_NL_vs_Healthy,0.24448630833341178,0.14539632098329072,1.6815164694676745,0.09266264018529469,-0.04049048079383802,0.5294630974606616,38,27,65,4.110932858676782,4.45503091791457,AIF1,Healthy_vs_AD_NL,0.14255790797737644
AD_LS_vs_Healthy,3.0599448937121236,0.351095966473687,8.715408850877392,2.897112145910847e-18,2.3717967994236973,3.7480929880005496,38,27,65,0.35629512131230734,1.522866072019192,TNFRSF9,Healthy_vs_AD_LS,1.9314080972738982e-17
AD_LS_vs_Healthy,0.9649845198967412,0.24350292485215796,3.9629278395018397,7.403616502627228e-05,0.48771878718651157,1.4422502526069707,38,27,65,0.4290326628965312,0.7110918536902437,TNFSF9,Healthy_vs_AD_LS,0.00016452481116949395
AD_LS_vs_Healthy,-0.15681610596253673,0.28767130591953655,-0.5451225156477691,0.5856692580951186,-0.7206518655648283,0.4070196536397548,38,27,65,4.830519381517181,5.2881822661140525,TPSAB1,Healthy_vs_AD_LS,0.5911913896050905
AD_LS_vs_Healthy,-0.16897946790418686,0.3146084726191836,-0.5371103533779501,0.5911913896050905,-0.7856120742377869,0.44765313842941307,38,27,65,6.659435469140984,7.532301017530175,TPSB2,Healthy_vs_AD_LS,0.5911913896050905
AD_LS_vs_Healthy,-0.5217719039150298,0.24898484925335176,-2.0955970031096416,0.03611795530365048,-1.0097822084515993,-0.033761599378460364,38,27,65,11.678950723092619,8.161153240905682,CPA3,Healthy_vs_AD_LS,0.053479393614130614
AD_LS_vs_Healthy,-0.6936945106003527,0.24951533936256726,-2.780167793982216,0.005433081733466427,-1.1827445757509845,-0.20464444544972088,38,27,65,4.1066445427258875,3.022140378183536,MS4A2,Healthy_vs_AD_LS,0.00987833042448441
AD_LS_vs_Healthy,-0.9213215739655708,0.3270013865776639,-2.8174852211116046,0.004840134213759143,-1.562244291657792,-0.28039885627334943,38,27,65,2.340128495998411,1.4761159795290548,CMA1,Healthy_vs_AD_LS,0.009680268427518285
AD_LS_vs_Healthy,-0.5220947984344934,0.12493201240454911,-4.179031365826958,2.927533119539841e-05,-0.7669615427474097,-0.2772280541215771,38,27,65,100.76628376107396,75.84869453840876,KIT,Healthy_vs_AD_LS,7.318832798849603e-05
AD_LS_vs_Healthy,0.3807220551316842,0.41829483652780314,0.9101763203485741,0.36272953010864006,-0.4391358244628099,1.2005799347261783,38,27,65,1.180436263084971,1.5098469897832139,HDC,Healthy_vs_AD_LS,0.4030328112318223
AD_LS_vs_Healthy,-0.39611453101090166,0.3685865924936291,-1.0746851325519888,0.2825157223007727,-1.1185442522984148,0.3263151902766113,38,27,65,591.626344545821,474.42371153300877,COL1A1,Healthy_vs_AD_LS,0.33237143800090907
AD_LS_vs_Healthy,-0.6163158514848471,0.33398104777620446,-1.8453617520771144,0.06498493306684437,-1.2709187051262079,0.03828700215651355,38,27,65,1036.6583548237222,660.3321689923322,COL1A2,Healthy_vs_AD_LS,0.08123116633355545
AD_LS_vs_Healthy,-1.3550841511389995,0.2019988531056314,-6.708375469985389,1.9680301511809286e-11,-1.751001903226037,-0.959166399051962,38,27,65,1203.8199984829535,469.8492508692843,DCN,Healthy_vs_AD_LS,6.560100503936429e-11
AD_LS_vs_Healthy,1.1741222956333117,0.14803499865303738,7.931383161526587,2.167184338647624e-15,0.8839736982733585,1.4642708929932648,38,27,65,4430.590813916568,8571.138248114104,KRT14,Healthy_vs_AD_LS,1.083592169323812e-14
AD_LS_vs_Healthy,0.8896280325960962,0.08876468672227,10.022319296631947,1.2161499674207006e-23,0.715649246620447,1.0636068185717455,38,27,65,6001.693426773147,10471.611226685662,KRT5,Healthy_vs_AD_LS,2.432299934841401e-22
AD_LS_vs_Healthy,0.317963535663062,0.11644396546931865,2.730614114535982,0.006321644321053166,0.0897333633431975,0.5461937079829265,38,27,65,15848.348427218123,19029.140225145446,KRT10,Healthy_vs_AD_LS,0.010536073868421944
AD_LS_vs_Healthy,1.9742538478915224,0.2568957414601193,7.685039217351166,1.5295013334301414e-14,1.4707381946296885,2.4777695011533565,38,27,65,0.5918796739554802,2.214769748017058,CD3D,Healthy_vs_AD_LS,6.118005333720566e-14
AD_LS_vs_Healthy,1.982420966912849,0.22608813377284112,8.768354773119842,1.8129581852593286e-18,1.5392882247180801,2.4255537091076174,38,27,65,0.8256563704328437,2.706317627870501,CD3E,Healthy_vs_AD_LS,1.8129581852593284e-17
AD_LS_vs_Healthy,0.9638843447353997,0.2070363965261554,4.65562751723043,3.2299542053485437e-06,0.5580930075441352,1.3696756819266642,38,27,65,2.8939605994255455,4.859018560086964,TRAC,Healthy_vs_AD_LS,9.228440586710125e-06
AD_LS_vs_Healthy,0.5120270481054501,0.24605071399181916,2.080981761030266,0.03743557552989143,0.02976764868148462,0.9942864475294156,38,27,65,9.09277229041858,13.243419105489755,CD163,Healthy_vs_AD_LS,0.053479393614130614
AD_LS_vs_Healthy,0.31157262568054744,0.15388779061921953,2.0246741110963367,0.042900838684532844,0.009952556066877173,0.6131926952942177,38,27,65,4.110932858676782,4.886406828099515,AIF1,Healthy_vs_AD_LS,0.05720111824604379
AD_LS_vs_AD_NL,1.6775200579011078,0.32480418996554705,5.164711877882633,2.4080956432034146e-07,1.0409038455686355,2.31413627023358,27,27,27,0.5563078417215181,1.522866072019192,TNFRSF9,AD_LS_vs_AD_NL,1.6053970954689431e-06
AD_LS_vs_AD_NL,0.732899728295766,0.21356860395503469,3.4316829099565247,0.0005998484699623065,0.314305264543898,1.151494192047634,27,27,27,0.5540616412044561,0.7110918536902437,TNFSF9,AD_LS_vs_AD_NL,0.0019994948998743553
AD_LS_vs_AD_NL,-0.13748457172913542,0.17320974569940423,-0.7937461669606752,0.42734321777054063,-0.4769756732999677,0.2020065298416969,27,27,27,5.661309530931323,5.2881822661140525,TPSAB1,AD_LS_vs_AD_NL,0.5697909570273875
AD_LS_vs_AD_NL,-0.13861175162431774,0.18630221099716893,-0.744015601760218,0.4568670364018885,-0.5037640851787688,0.22654058193013335,27,27,27,8.929694414767964,7.532301017530175,TPSB2,AD_LS_vs_AD_NL,0.5710837955023607
AD_LS_vs_AD_NL,-0.0949676521173547,0.17730109658174514,-0.5356292428432308,0.5922148142206014,-0.44247780141757515,0.25254249718286575,27,27,27,8.910879603998401,8.161153240905682,CPA3,AD_LS_vs_AD_NL,0.6967233108477664
AD_LS_vs_AD_NL,-0.5699213660039688,0.18096007996817262,-3.1494314442401157,0.001635884855886272,-0.9246031227415872,-0.2152396092663504,27,27,27,4.359207564668665,3.022140378183536,MS4A2,AD_LS_vs_AD_NL,0.004639077203979504
AD_LS_vs_AD_NL,-0.5945868678988626,0.2099095444901265,-2.8325861472527287,0.004617312264019643,-1.0060095750995106,-0.18316416069821473,27,27,27,2.227515458957285,1.4761159795290548,CMA1,AD_LS_vs_AD_NL,0.010260693920043652
AD_LS_vs_AD_NL,-0.41156266987771845,0.10089119170109222,-4.079272560255258,4.517684459453502e-05,-0.6093094056118592,-0.2138159341435777,27,27,27,92.49251503708717,75.84869453840876,KIT,AD_LS_vs_AD_NL,0.00018070737837814008
AD_LS_vs_AD_NL,-0.009461120312699292,0.24267033645486738,-0.03898754355771416,0.9689003198648203,-0.48509497976423926,0.4661727391388408,27,27,27,1.3709045544612926,1.5098469897832139,HDC,AD_LS_vs_AD_NL,0.9748417400574519
AD_LS_vs_AD_NL,0.31402243644561134,0.3113923917496219,1.008446078856365,0.31324036130122024,-0.29630665138364765,0.9243515242748703,27,27,27,349.54174004847107,474.42371153300877,COL1A1,AD_LS_vs_AD_NL,0.498700842961044
AD_LS_vs_AD_NL,-0.009154182519944891,0.2902732703058466,-0.03153642948349871,0.9748417400574519,-0.5780897923194042,0.5597814272795144,27,27,27,733.5640469960082,660.3321689923322,COL1A2,AD_LS_vs_AD_NL,0.9748417400574519
AD_LS_vs_AD_NL,-0.9621040878401624,0.2033838142133906,-4.730485026850373,2.2398404753639532e-06,-1.360736363698408,-0.5634718119819169,27,27,27,901.5794320531459,469.8492508692843,DCN,AD_LS_vs_AD_NL,1.1199202376819766e-05
AD_LS_vs_AD_NL,0.8184033464217859,0.0842914207402952,9.709212862164406,2.754560590648714e-22,0.6531921617708072,0.9836145310727645,27,27,27,5235.856274308427,8571.138248114104,KRT14,AD_LS_vs_AD_NL,5.509121181297428e-21
AD_LS_vs_AD_NL,0.5082382099172442,0.0783572706946829,6.486165296614037,8.804856539042042e-11,0.3546579593556658,0.6618184604788228,27,27,27,6992.773223914059,10471.611226685662,KRT5,AD_LS_vs_AD_NL,8.804856539042042e-10
AD_LS_vs_AD_NL,0.09882990843320413,0.11361852543518434,0.8698397383231607,0.3843879915342806,-0.12386240141975718,0.32152221828616545,27,27,27,18385.40683686627,19029.140225145446,KRT10,AD_LS_vs_AD_NL,0.5491257021918294
AD_LS_vs_AD_NL,1.014114594849845,0.36681901381988835,2.7646183993826035,0.0056989421037469705,0.2951493277628636,1.7330798619368262,27,27,27,0.8895606554438582,2.214769748017058,CD3D,AD_LS_vs_AD_NL,0.011397884207493941
AD_LS_vs_AD_NL,0.8949227649937436,0.287533186677975,3.112415562646058,0.001855630881591802,0.3313577191049126,1.4584878108825745,27,27,27,1.1880082447772187,2.706317627870501,CD3E,AD_LS_vs_AD_NL,0.004639077203979504
AD_LS_vs_AD_NL,0.5198607994139813,0.20854609454087156,2.4927860699501005,0.01267451853318662,0.11111045411387312,0.9286111447140895,27,27,27,3.4897742190330803,4.859018560086964,TRAC,AD_LS_vs_AD_NL,0.0230445791512484
AD_LS_vs_AD_NL,-0.22434912372498977,0.22754515885791657,-0.985954282002886,0.3241555479246786,-0.6703376350865062,0.2216393876365267,27,27,27,12.934697855820138,13.243419105489755,CD163,AD_LS_vs_AD_NL,0.498700842961044
AD_LS_vs_AD_NL,0.06708631734710407,0.1523726666793296,0.4402778976644686,0.6597358467525034,-0.23156410934438193,0.36573674403859,27,27,27,4.45503091791457,4.886406828099515,AIF1,AD_LS_vs_AD_NL,0.7330398297250038
